mote_id,monitored_time,tx_time,rx_time,on_time,int_time
3,0.149633,0.0,0.0,0.0,0.0
11,0.150666,0.0,0.0,0.0,0.0
3,0.149633,0.0,0.0,0.0,0.0
11,0.150666,0.0,0.0,0.0,0.0
3,0.288586,0.0,0.0,0.000798,0.0
7,0.253669,0.0,0.0,0.0,0.0
8,0.266307,0.0,0.0,0.0,0.0
11,0.289785,0.0,0.0,0.000797,0.0
2,0.332449,0.0,0.0,0.0,0.0
3,0.288586,0.0,0.0,0.000798,0.0
5,0.336148,0.0,0.0,0.0,0.0
7,0.392622,0.0,0.0,0.000798,0.0
8,0.266307,0.0,0.0,0.0,0.0
11,0.289785,0.0,0.0,0.000797,0.0
12,0.358011,0.0,0.0,0.0,0.0
14,0.318899,0.0,0.0,0.0,0.0
20,0.372839,0.0,0.0,0.0,0.0
2,0.471402,0.0,0.0,0.000798,0.0
3,0.288586,0.0,0.0,0.000798,0.0
5,0.475101,0.0,0.0,0.000798,0.0
7,0.392622,0.0,0.0,0.000798,0.0
8,0.40526,0.0,0.0,0.000798,0.0
11,0.289785,0.0,0.0,0.000797,0.0
12,0.49713,0.0,0.0,0.000797,0.0
13,0.465624,0.0,0.0,0.0,0.0
14,0.458018,0.0,0.0,0.000797,0.0
20,0.372839,0.0,0.0,0.0,0.0
2,0.471402,0.0,0.0,0.000798,0.0
3,0.538586,0.0,0.0,0.001596,0.0
5,0.475101,0.0,0.0,0.000798,0.0
6,0.593921,0.0,0.0,0.0,0.0
7,0.392622,0.0,0.0,0.000798,0.0
8,0.40526,0.0,0.0,0.000798,0.0
11,0.539785,0.0,0.0,0.001595,0.0
12,0.49713,0.0,0.0,0.000797,0.0
13,0.604744,0.0,0.0,0.000799,0.0
14,0.458018,0.0,0.0,0.000797,0.0
20,0.511959,0.0,0.0,0.000799,0.0
2,0.471402,0.0,0.0,0.000798,0.0
3,0.663586,0.0,0.0,0.002394,0.0
5,0.475101,0.0,0.0,0.000798,0.0
6,0.593921,0.0,0.0,0.0,0.0
7,0.642622,0.0,0.0,0.001596,0.0
8,0.65526,0.0,0.0,0.001596,0.0
11,0.664785,0.0,0.0,0.002392,0.0
12,0.49713,0.0,0.0,0.000797,0.0
13,0.604744,0.0,0.0,0.000799,0.0
14,0.458018,0.0,0.0,0.000797,0.0
19,0.687495,0.0,0.0,0.0,0.0
20,0.511959,0.0,0.0,0.000799,0.0
1,0.749218,0.0,0.0,0.0,0.0
2,0.721402,0.0,0.0,0.001596,0.0
3,0.788586,0.0,0.0,0.003192,0.0
5,0.725101,0.0,0.0,0.001596,0.0
6,0.732874,0.0,0.0,0.000798,0.0
7,0.767622,0.0,0.0,0.002394,0.0
8,0.78026,0.0,0.0,0.002394,0.0
11,0.789785,0.0,0.0,0.003189,0.0
12,0.74713,0.0,0.0,0.001595,0.0
13,0.604744,0.0,0.0,0.000799,0.0
14,0.708018,0.0,0.0,0.001595,0.0
17,0.728947,0.0,0.0,0.0,0.0
19,0.687495,0.0,0.0,0.0,0.0
20,0.761959,0.0,0.0,0.001598,0.0
1,0.749218,0.0,0.0,0.0,0.0
2,0.846402,0.0,0.0,0.002394,0.0
3,0.913586,0.0,0.0,0.00399,0.0
5,0.850101,0.0,0.0,0.002394,0.0
6,0.732874,0.0,0.0,0.000798,0.0
7,0.892622,0.0,0.0,0.003192,0.0
8,0.90526,0.0,0.0,0.003192,0.0
11,0.914785,0.0,0.0,0.003986,0.0
12,0.87213,0.0,0.0,0.002392,0.0
13,0.854744,0.0,0.0,0.001598,0.0
14,0.833018,0.0,0.0,0.002392,0.0
16,0.805073,0.0,0.0,0.0,0.0
17,0.868067,0.0,0.0,0.000799,0.0
19,0.826614,0.0,0.0,0.000797,0.0
20,0.886958,0.0,0.0,0.002396,0.0
1,0.749218,0.0,0.0,0.0,0.0
2,0.971402,0.0,0.0,0.003192,0.0
3,0.913586,0.0,0.0,0.00399,0.0
4,0.987806,0.0,0.0,0.0,0.0
5,0.975101,0.0,0.0,0.003192,0.0
6,0.982874,0.0,0.0,0.001596,0.0
7,0.892622,0.0,0.0,0.003192,0.0
8,0.90526,0.0,0.0,0.003192,0.0
10,0.919146,0.0,0.0,0.0,0.0
11,0.914785,0.0,0.0,0.003986,0.0
12,0.99713,0.0,0.0,0.003189,0.0
13,0.979743,0.0,0.0,0.002396,0.0
14,0.958018,0.0,0.0,0.003189,0.0
16,0.944192,0.0,0.0,0.000798,0.0
17,0.868067,0.0,0.0,0.000799,0.0
18,0.946673,0.0,0.0,0.0,0.0
19,0.826614,0.0,0.0,0.000797,0.0
20,0.886958,0.0,0.0,0.002396,0.0
21,0.995981,0.0,0.0,0.0,0.0
1,0.749218,0.0,0.0,0.0,0.0
2,1.096402,0.0,0.0,0.00399,0.0
3,1.038586,0.0,0.0,0.004788,0.0
4,0.987806,0.0,0.0,0.0,0.0
5,1.100101,0.0,0.0,0.00399,0.0
6,0.982874,0.0,0.0,0.001596,0.0
7,1.017622,0.0,0.0,0.00399,0.0
8,1.03026,0.0,0.0,0.00399,0.0
10,1.058266,0.0,0.0,0.000799,0.0
11,1.039786,0.0,0.0,0.004784,0.0
12,0.99713,0.0,0.0,0.003189,0.0
13,0.979743,0.0,0.0,0.002396,0.0
14,1.083018,0.0,0.0,0.003986,0.0
15,1.088299,0.0,0.0,0.0,0.0
16,0.944192,0.0,0.0,0.000798,0.0
17,0.868067,0.0,0.0,0.000799,0.0
18,1.085793,0.0,0.0,0.000799,0.0
19,1.076614,0.0,0.0,0.001595,0.0
20,1.011958,0.0,0.0,0.003193,0.0
21,0.995981,0.0,0.0,0.0,0.0
1,1.205681,0.0,0.00883,0.456463,0.0
2,1.096402,0.0,0.0,0.00399,0.0
3,1.206129,0.009278,0.0,0.020325,0.0
4,1.205487,0.0,0.0,0.000798,0.0
5,1.100101,0.0,0.0,0.00399,0.0
6,1.107874,0.0,0.0,0.002394,0.0
7,1.142622,0.0,0.0,0.004788,0.0
8,1.205681,0.0,0.0,0.004788,0.0
9,1.205681,0.0,0.0,0.0,0.0
10,1.205487,0.0,0.0,0.000799,0.0
11,1.206037,0.008828,0.0,0.019322,0.0
